General_Topic,Influential_Topic,Similarity
1,1,0.17647058823529413
1,2,0.08108108108108109
1,3,0.08108108108108109
1,4,0.02564102564102564
1,5,0.17647058823529413
1,6,0.3793103448275862
1,7,0.21212121212121213
2,1,0.08108108108108109
2,2,0.14285714285714285
2,3,0.1111111111111111
2,4,0.02564102564102564
2,5,0.1111111111111111
2,6,0.08108108108108109
2,7,0.3333333333333333
3,1,0.48148148148148145
3,2,0.14285714285714285
3,3,0.08108108108108109
3,4,0.14285714285714285
3,5,0.25
3,6,0.17647058823529413
3,7,0.17647058823529413
4,1,0.05263157894736842
4,2,0.08108108108108109
4,3,0.02564102564102564
4,4,0.3793103448275862
4,5,0.05263157894736842
4,6,0.05263157894736842
4,7,0.02564102564102564
5,1,0.05263157894736842
5,2,0.1111111111111111
5,3,0.14285714285714285
5,4,0.05263157894736842
5,5,0.3793103448275862
5,6,0.21212121212121213
5,7,0.08108108108108109
6,1,0.17647058823529413
6,2,0.05263157894736842
6,3,0.05263157894736842
6,4,0.42857142857142855
6,5,0.17647058823529413
6,6,0.02564102564102564
6,7,0.1111111111111111
7,1,0.05263157894736842
7,2,0.21212121212121213
7,3,0.08108108108108109
7,4,0.02564102564102564
7,5,0.14285714285714285
7,6,0.08108108108108109
7,7,0.08108108108108109
8,1,0.08108108108108109
8,2,0.1111111111111111
8,3,0.05263157894736842
8,4,0.14285714285714285
8,5,0.05263157894736842
8,6,0.08108108108108109
8,7,0.25
9,1,0.17647058823529413
9,2,0.05263157894736842
9,3,0.14285714285714285
9,4,0.05263157894736842
9,5,0.48148148148148145
9,6,0.2903225806451613
9,7,0.17647058823529413
10,1,0.02564102564102564
10,2,0.1111111111111111
10,3,0.1111111111111111
10,4,0.0
10,5,0.0
10,6,0.08108108108108109
10,7,0.05263157894736842
