ThreadID,Thread Title,URL,Date,Number of Messages
TH03042,one more time... (who claims to be God and Human?),https://groups.google.com./g/net.religion/c/6PG0rZZvi7M,9/19/86,1
TH03041,Hell (An Alienation from God? No.),https://groups.google.com./g/net.religion/c/QXBit_xxUR0,9/10/86,2
TH03040,More Non-History,https://groups.google.com./g/net.religion/c/nHpN3pfYSqc,9/9/86,9
TH03039,Our 'Common Religious Heritage',https://groups.google.com./g/net.religion/c/P1q8m3TL6-o,9/8/86,1
TH03038,Rowing through the fog,https://groups.google.com./g/net.religion/c/g2zSDJDOrSE,9/8/86,1
TH03037,"Banning books, religion etc...",https://groups.google.com./g/net.religion/c/wBNeT5N4irE,9/8/86,14
TH03036,"The Epiphany, Mr. Ed, and the Ghost of Marley",https://groups.google.com./g/net.religion/c/Qb_kgRryFJc,9/5/86,1
TH03035,Heaven and Hell,https://groups.google.com./g/net.religion/c/Q7cakBP_-PQ,9/5/86,3
TH03034,Shove over and make room for God!,https://groups.google.com./g/net.religion/c/vWU0xTtjL5c,9/5/86,1
TH03033,Buddhist Philosophy,https://groups.google.com./g/net.religion/c/KUgcRIoX1vo,9/5/86,1
TH03032,Reply to Dan Tilque,https://groups.google.com./g/net.religion/c/GyVZtYyN8MY,9/5/86,1
TH03031,Rowing through the fog,https://groups.google.com./g/net.religion/c/UTbGJSfZb7w,9/5/86,3
TH03030,Sanitising the religion out of history,https://groups.google.com./g/net.religion/c/7IUsPx2IpA8,9/5/86,1
TH03029,"The Epiphany, Mr. Ed, and the Ghost of Marley",https://groups.google.com./g/net.religion/c/LRsQwR_MEVw,9/4/86,1
TH03028,Re; our religious heritage,https://groups.google.com./g/net.religion/c/AqprdKiDzyg,9/4/86,2
TH03027,Hell (An Alienation from God? No.),https://groups.google.com./g/net.religion/c/rxss-qmpX9U,9/3/86,2
TH03026,Brother Jed returns to UKentucky with a vengeance!,https://groups.google.com./g/net.religion/c/e4G5AT-PQ0w,9/3/86,1
TH03025,Freedom,https://groups.google.com./g/net.religion/c/dDsvYj6mGoQ,9/3/86,2
TH03024,supernatural events,https://groups.google.com./g/net.religion/c/INpEXAPzI98,9/2/86,2
TH03023,The Cosmological Argument,https://groups.google.com./g/net.religion/c/87RAL39-IUo,8/30/86,2
TH03022,supernatural events,https://groups.google.com./g/net.religion/c/SIhnZYGNjEc,8/25/86,1
TH03021,RE. Scopes II (non-profit corps and churches),https://groups.google.com./g/net.religion/c/blJvreywePI,8/21/86,3
TH03020,RE. Scopes II,https://groups.google.com./g/net.religion/c/HXcpEQNuFwg,8/19/86,7
TH03019,Church decision on womens souls: New info!,https://groups.google.com./g/net.religion/c/M6vBn0MgE2Q,8/15/86,1
TH03018,The Cosmological Argument,https://groups.google.com./g/net.religion/c/K1GTHLPuuoY,8/15/86,6
TH03017,Post-marital sex,https://groups.google.com./g/net.religion/c/bD5uLh2ioyY,8/10/86,1
TH03016,The government preventing us from hurting ourselves,https://groups.google.com./g/net.religion/c/meYlD348Fzo,8/1/86,1
TH03015,PSI: Yes I see it / No you don't,https://groups.google.com./g/net.religion/c/18-tkX9KmWM,7/22/86,8
TH03014,The Institute for Pi Research,https://groups.google.com./g/net.religion/c/_eRRGJ0PY2g,7/20/86,1
TH03013,Needless,https://groups.google.com./g/net.religion/c/3Lb2zxWUbjU,7/17/86,1
TH03012,Spiritual Energy? (Re: real psi info,https://groups.google.com./g/net.religion/c/5mqB4HZswIo,7/7/86,1
TH03011,Hitler: Why we need a Science of Morality,https://groups.google.com./g/net.religion/c/nZRbwdqtDHc,5/24/86,3
TH03010,Hebrew-English Calendar Conversion Algorithm,https://groups.google.com./g/net.religion/c/oalthgkb1cU,5/23/86,1
TH03009,Hitler: Why we need a Science of Morality,https://groups.google.com./g/net.religion/c/mItunTle3kE,5/23/86,11
TH03008,A backbone is only as strong as its weakest link.,https://groups.google.com./g/net.religion/c/DrFU8X9zBxs,5/22/86,1
TH03007,Esoteric Books,https://groups.google.com./g/net.religion/c/DUpCgN9eFDc,5/16/86,5
TH03006,An Awesome Vision,https://groups.google.com./g/net.religion/c/3hQDz9q03kw,5/14/86,4
TH03005,Hitler: Why we need a Science of Morality,https://groups.google.com./g/net.religion/c/SPyYV1Rhb4E,5/9/86,1
TH03004,"The elimination of certain non-technical newsgroups by so called ""powers-that-be""",https://groups.google.com./g/net.religion/c/zkYqMyDio_c,5/8/86,1
TH03003,"psychic ability, and throwing down the gauntlet",https://groups.google.com./g/net.religion/c/p_jP8bJUv5I,5/7/86,1
TH03002,ARticles get truncated at hplabs????,https://groups.google.com./g/net.religion/c/8Q194X8B2eQ,5/6/86,1
