ThreadID,Thread Title,URL,Date,Number of Messages
TH01018,Dial-A-Jerk,https://groups.google.com./g/net.motss/c/nCCeMzql4AM,2/24/86,1
TH01017,Demise of the Gay Bars?,https://groups.google.com./g/net.motss/c/MeZyVOHI0xQ,2/23/86,1
TH01016,Trade ya + tonight's TV,https://groups.google.com./g/net.motss/c/CYvnMSVRlj0,2/22/86,1
TH01015,Gay games and South Africa,https://groups.google.com./g/net.motss/c/0tUYituFoL0,2/21/86,3
TH01014,What you say as opposed to what you mean.,https://groups.google.com./g/net.motss/c/9jO7wDjkx68,2/21/86,1
TH01013,Kiss and make up you two.,https://groups.google.com./g/net.motss/c/m95xxwwahKw,2/19/86,1
TH01012,the Biology of Killer Apples,https://groups.google.com./g/net.motss/c/nW0NZc8oej4,2/18/86,1
TH01011,need (annotated) film lists,https://groups.google.com./g/net.motss/c/tYQkBlb0pKM,2/18/86,1
TH01010,Boskone summary,https://groups.google.com./g/net.motss/c/czXwQr4_vYs,2/17/86,1
TH01009,Coupla Things,https://groups.google.com./g/net.motss/c/F1k0K6oT00o,2/17/86,1
TH01008,E.g. Student Gov't Project.,https://groups.google.com./g/net.motss/c/BeF1F3O5Rm4,2/14/86,1
TH01007,Gay Games II & South African participation,https://groups.google.com./g/net.motss/c/IIVSG7ga_eo,2/14/86,3
TH01006,what's yr opinion of this?,https://groups.google.com./g/net.motss/c/B9_Ubkak2Kg,2/14/86,2
TH01005,No Wonder We Look Bad,https://groups.google.com./g/net.motss/c/RFpJ2pvQnDE,2/13/86,8
TH01004,AIDS research & the military,https://groups.google.com./g/net.motss/c/oSm-oHnLCAI,2/13/86,1
TH01003,Jason on Smut films,https://groups.google.com./g/net.motss/c/oyYD29f8a8c,2/13/86,1
TH01002,AIDS virus in prison evaporates basic rights,https://groups.google.com./g/net.motss/c/7l7-IDIk9fI,2/13/86,6
TH01001,Harvard & Radcliffe's Festival of Life,https://groups.google.com./g/net.motss/c/A5AbgpeDeEA,2/13/86,1
TH01000,Our humble moderator,https://groups.google.com./g/net.motss/c/YcByhRlndxY,2/13/86,1
TH00999,sort of RE: Alan Bates as spy recruiter Guy Burgess,https://groups.google.com./g/net.motss/c/GwW9515-BkU,2/12/86,1
TH00998,Alan Bates as spy recruiter Guy Burgess,https://groups.google.com./g/net.motss/c/48W32-U4oSA,2/12/86,2
TH00997,"Gerry - No flame to you, just a lot of comments",https://groups.google.com./g/net.motss/c/iygIqH6psG8,2/11/86,1
TH00996,Quote without comment,https://groups.google.com./g/net.motss/c/LAigSF8egkc,2/9/86,1
TH00995,Arndt's idiocies (Re: Adam Reed's attack on Jews),https://groups.google.com./g/net.motss/c/UplT3o4ZpCc,2/9/86,2
TH00994,"Sandinistas increase intimidation of church, politicians",https://groups.google.com./g/net.motss/c/zeVdGN0BdHg,2/8/86,2
TH00993,It Ain't pretty,https://groups.google.com./g/net.motss/c/MsNZDiTvCBk,2/7/86,4
TH00992,Generalizations about Gay Men.,https://groups.google.com./g/net.motss/c/MGdP0Y9zODI,2/6/86,1
TH00991,AIDS budget cut proposal,https://groups.google.com./g/net.motss/c/vTrrcpv0RUA,2/6/86,1
TH00990,More on gay boomerangs...,https://groups.google.com./g/net.motss/c/EwNOtZ00klE,2/5/86,1
TH00989,Gay foster care ban -- bizarre boomerang,https://groups.google.com./g/net.motss/c/60OwAq_B-Hc,2/3/86,5
TH00988,Sandinista article -- a misposting,https://groups.google.com./g/net.motss/c/J1F8vmNyYyU,2/3/86,1
TH00987,Please find a net.nicaragua elsewhere,https://groups.google.com./g/net.motss/c/73H7sRm6iRg,2/2/86,1
TH00986,Should book ads disclose sexual slant?,https://groups.google.com./g/net.motss/c/qeaIuukEo40,2/1/86,20
TH00985,Gay foster care ban -- bizarre boomerang,https://groups.google.com./g/net.motss/c/nCCdvinrU2Q,1/28/86,1
