ThreadID,Thread Title,URL,Date,Number of Messages
TH03504,Erotic Publications,https://groups.google.com./g/net.singles/c/i7LkglpRkW8,9/25/86,1
TH03503,Puritan Ethics,https://groups.google.com./g/net.singles/c/BmCf5O0R8Ls,9/22/86,2
TH03502,Commission on Pornography -- reply to GWSmith,https://groups.google.com./g/net.singles/c/wuQufg80XKo,9/20/86,8
TH03501,Attorney General's Commission on Pornography,https://groups.google.com./g/net.singles/c/Ezg_AS7NtJ8,9/20/86,19
TH03500,porn report,https://groups.google.com./g/net.singles/c/wNLQh-Fv-bA,9/17/86,1
TH03499,Commission on Pornography -- reply to GWSmith,https://groups.google.com./g/net.singles/c/CofFgK-IsDs,9/16/86,2
TH03498,"Officer, arrest that man! He...he manipulated my emotions!!",https://groups.google.com./g/net.singles/c/qFBRQHlX6W8,9/16/86,1
TH03497,Attorney General's Commission on pornography,https://groups.google.com./g/net.singles/c/Vl2TonElKPE,9/16/86,1
TH03496,Attorney General's Commission on Pornography,https://groups.google.com./g/net.singles/c/JB-f_KqwgCk,9/15/86,1
TH03495,Taking control of pleasure,https://groups.google.com./g/net.singles/c/yAB6v9DKNE0,9/15/86,1
TH03494,Nonsexual fantasy fulfillment...,https://groups.google.com./g/net.singles/c/B4nnSZnrrds,9/14/86,1
TH03493,net.party.eastcoast: the saga continues ...,https://groups.google.com./g/net.singles/c/Ziv3IXy2DNY,9/13/86,1
TH03492,L. S. de Camp/WorldCon,https://groups.google.com./g/net.singles/c/7kFF3RLxAUw,9/11/86,1
TH03491,AIDS posting,https://groups.google.com./g/net.singles/c/x0t_ee4RnlE,9/11/86,1
TH03490,Legalizing and taxing vices(in this case prostitution),https://groups.google.com./g/net.singles/c/yZOfmcUgeZg,9/8/86,1
TH03489,Saying things about your SO on the net,https://groups.google.com./g/net.singles/c/Kk1JHQKwtq4,9/8/86,6
TH03488,East Coast Party -- Thanks,https://groups.google.com./g/net.singles/c/pmLbm8dRhKM,9/6/86,9
TH03487,net.party.eastcoast: the saga continues ...,https://groups.google.com./g/net.singles/c/U4_uTtyfgIs,9/5/86,2
TH03486,Mensa,https://groups.google.com./g/net.singles/c/rodfjgU3Ep0,8/27/86,3
TH03485,ThanX to all the ladyfriend who replied -Mission accomplished,https://groups.google.com./g/net.singles/c/3XqiuufUHKk,8/25/86,1
TH03484,"How `bout it, west coast ?",https://groups.google.com./g/net.singles/c/WFj_6E0pgTw,8/22/86,2
TH03483,Looking for John Abercrombie,https://groups.google.com./g/net.singles/c/h4-FCvf4IQ4,8/19/86,4
TH03482,"TV's of the world, UNITE !!!!",https://groups.google.com./g/net.singles/c/msiIp_pJKOM,8/12/86,1
TH03481,Mike Cross song about inbreeding taboos,https://groups.google.com./g/net.singles/c/JavzQvK0K0s,8/11/86,1
TH03480,Why no marriage ? No polygamy,https://groups.google.com./g/net.singles/c/MZVj_Lw3xwE,8/11/86,1
TH03479,Supreme Court Ruling on Sodomy,https://groups.google.com./g/net.singles/c/x4HfOYalFfw,8/11/86,34
TH03478,slack-bash or net.party.ne,https://groups.google.com./g/net.singles/c/EdO5EuL9x_Y,8/11/86,1
TH03477,Post-marital sex,https://groups.google.com./g/net.singles/c/bD5uLh2ioyY,8/10/86,1
TH03476,Why no Polygamy(was bigamy(was sodomy),https://groups.google.com./g/net.singles/c/ejG4LqUdncU,8/8/86,1
TH03475,Electronically Mediated Human Relationships,https://groups.google.com./g/net.singles/c/vYsU1bVJIrE,8/6/86,1
TH03474,*That* Survey Again...,https://groups.google.com./g/net.singles/c/Y7bb0RdsHoc,8/5/86,4
TH03473,ne party directions retry,https://groups.google.com./g/net.singles/c/r6GnHvZhbiw,8/1/86,2
TH03472,net.ne.party.directions,https://groups.google.com./g/net.singles/c/7S9RoQXxlZI,7/31/86,1
TH03471,The Sexual Revolution,https://groups.google.com./g/net.singles/c/TNGhPuKa-YM,7/30/86,2
TH03470,Supreme Court Ruling on Sodomy (really bigamy),https://groups.google.com./g/net.singles/c/Cs2wLAeL4fA,7/29/86,2
TH03469,"If sodomy, why not incest?",https://groups.google.com./g/net.singles/c/bdzUWqGigc0,7/28/86,12
TH03468,A Guy's Guide to a Girl's Hair,https://groups.google.com./g/net.singles/c/G9F5T8IKhNM,7/23/86,2
TH03467,Supreme Court and Sodomy--A Different Thought,https://groups.google.com./g/net.singles/c/BQELSsjAdIs,7/23/86,1
TH03466,SCIgh... (was PSIgh...),https://groups.google.com./g/net.singles/c/SD9p_e5zZrg,7/23/86,1
TH03465,Supreme Court Ruling on Sodomy,https://groups.google.com./g/net.singles/c/R9c07CLfSfo,7/21/86,1
TH03464,Redheads,https://groups.google.com./g/net.singles/c/HB0Ag8Ek5Sw,7/13/86,1
TH03463,The Sodomy Law and the CON,https://groups.google.com./g/net.singles/c/PWitGaqzKQY,7/11/86,1
TH03462,Supreme Court Ruling on Sodomy (AIDS comment),https://groups.google.com./g/net.singles/c/LFky_7eKoXA,7/11/86,1
TH03461,Marriage - Yes or No,https://groups.google.com./g/net.singles/c/9n4KRdvyvvU,7/10/86,3
TH03460,SCIgh... (was PSIgh...),https://groups.google.com./g/net.singles/c/Pyzzr0kanTg,7/6/86,2
TH03459,PSI: Yes I see it / No you don't,https://groups.google.com./g/net.singles/c/E1L_IstofMM,5/25/86,4
TH03458,Esoteric Books,https://groups.google.com./g/net.singles/c/DUpCgN9eFDc,5/16/86,5
TH03457,Astrology,https://groups.google.com./g/net.singles/c/2T57LOjv5bg,5/12/86,1
TH03456,PSI: Yes I see it / No you don't,https://groups.google.com./g/net.singles/c/m-ejLoYUfhk,5/11/86,1
TH03455,Creation of *.psi (newsgroup or moderated mailing list),https://groups.google.com./g/net.singles/c/JHN5TCwfIrM,5/11/86,3
TH03454,Goodbye! (only temporarily),https://groups.google.com./g/net.singles/c/WEbukl6Whk8,5/5/86,1
TH03453,Phyllis Li,https://groups.google.com./g/net.singles/c/PBSuZYGADEg,5/2/86,1
TH03452,"Universities, Class Structure",https://groups.google.com./g/net.singles/c/dgFALBKUbs0,4/9/86,30
TH03451,Beach harassment,https://groups.google.com./g/net.singles/c/oC_5BDC_Wvw,3/31/86,115
TH03450,Tracy vs. Eric.(8-),https://groups.google.com./g/net.singles/c/UtF2AVZWxyg,3/31/86,2
TH03449,Why male dominance?,https://groups.google.com./g/net.singles/c/gMNnQZ8Ul_4,3/30/86,57
TH03448,Andy Beals Makes Cookies,https://groups.google.com./g/net.singles/c/00wXKJvga9o,3/30/86,31
TH03447,Tan Lines and armpits,https://groups.google.com./g/net.singles/c/tpqG6Y-hfBw,3/30/86,31
TH03446,Meeting People on the Net,https://groups.google.com./g/net.singles/c/WWDTCeV_4TA,3/30/86,1
TH03445,The male pill,https://groups.google.com./g/net.singles/c/oAWxkMGRXcQ,3/29/86,1
TH03444,Tan lines and such,https://groups.google.com./g/net.singles/c/JGHml5bTqQY,3/29/86,2
TH03443,Thoreau (Reply to Dan Asimov),https://groups.google.com./g/net.singles/c/69elmw_1Wrc,3/29/86,5
TH03442,"Don't get me wrong, but",https://groups.google.com./g/net.singles/c/yHVM2wDb6Nk,3/29/86,7
TH03441,"""SO"" is no good (new? topic)",https://groups.google.com./g/net.singles/c/ZzuLYqymvJk,3/29/86,10
TH03440,Thanks for defending my honor,https://groups.google.com./g/net.singles/c/oTJHBw632Ck,3/29/86,1
TH03439,Effectiveness of psychotherapy,https://groups.google.com./g/net.singles/c/f9kPfAETTdc,3/28/86,3
TH03438,"""pretend"" names and aliases",https://groups.google.com./g/net.singles/c/sVOBodpQMw4,3/28/86,10
TH03437,Getting yer Rocks off ...........,https://groups.google.com./g/net.singles/c/gqsUZoCqI3o,3/28/86,9
TH03436,those damned men,https://groups.google.com./g/net.singles/c/PEjwDGJmBw8,3/28/86,22
TH03435,Another Interesting Article,https://groups.google.com./g/net.singles/c/U3iKotsWa1k,3/28/86,7
TH03434,Hair in yer pits?,https://groups.google.com./g/net.singles/c/m6BsYyL5FzU,3/28/86,2
TH03433,Do I feel sparks? (grammar/spell,https://groups.google.com./g/net.singles/c/4-rzCFNdjmk,3/28/86,33
TH03432,"Elaaine thinks ""Pits"" are useful...",https://groups.google.com./g/net.singles/c/OA_-kAtJAL0,3/28/86,1
TH03431,Interesting article,https://groups.google.com./g/net.singles/c/w_4ToN7Gw-Y,3/28/86,57
TH03430,wharf rats on the net?,https://groups.google.com./g/net.singles/c/WOMqv76776c,3/28/86,3
TH03429,Armpit hair,https://groups.google.com./g/net.singles/c/DWlzh_6M3zs,3/27/86,1
TH03428,"Reply to that ""Dingy"" er Dighe critter.",https://groups.google.com./g/net.singles/c/tgjwqZ-Wwfo,3/27/86,1
TH03427,Armpits,https://groups.google.com./g/net.singles/c/BRdrZYHrbT8,3/27/86,1
TH03426,Tan Lines...,https://groups.google.com./g/net.singles/c/0oPU_1QJYhE,3/27/86,13
TH03425,Reply to Gregg Mackenzie,https://groups.google.com./g/net.singles/c/qrY3LIWgqiY,3/27/86,2
TH03424,how to go non-dutch ?,https://groups.google.com./g/net.singles/c/u22NEa8G-C4,3/27/86,1
TH03423,Hey 'Cowski! Keep yer shirt on pal...,https://groups.google.com./g/net.singles/c/hFePJVjgg_g,3/27/86,1
TH03422,female win/win vs male win/lose,https://groups.google.com./g/net.singles/c/Mutc3az3Bt8,3/27/86,3
TH03421,Flaming the bozos,https://groups.google.com./g/net.singles/c/lXIfbIcWk-I,3/26/86,2
TH03420,"Another quick question on ""second-time"" Relationships",https://groups.google.com./g/net.singles/c/tLr1mLr-XOY,3/26/86,1
TH03419,career vs. relationships,https://groups.google.com./g/net.singles/c/kKkXz5Ln0_E,3/26/86,127
TH03418,I.Q. - no such thing,https://groups.google.com./g/net.singles/c/Y1z6yO6etnI,3/26/86,1
TH03417,This song keeps comin' up in my (alleged) mind(8-).,https://groups.google.com./g/net.singles/c/Aai4rUwGth0,3/26/86,4
TH03416,To tan or not to tan,https://groups.google.com./g/net.singles/c/GNM0-r7oHzE,3/26/86,1
TH03415,Love Songs,https://groups.google.com./g/net.singles/c/oZu2ldcC_c8,3/26/86,41
TH03414,"""Silicon widows""",https://groups.google.com./g/net.singles/c/8kj1eUijXTc,3/26/86,2
TH03413,pretentious names and titles,https://groups.google.com./g/net.singles/c/CzQeDYZBXao,3/25/86,1
TH03412,What happened to my file I use to post?,https://groups.google.com./g/net.singles/c/q1-dXO6fCas,3/25/86,1
TH03411,Mother Goose,https://groups.google.com./g/net.singles/c/RaMfiaUlY3Y,3/25/86,1
TH03410,Matrilineal and Matriarchal,https://groups.google.com./g/net.singles/c/9gyUwBseHWg,3/25/86,1
TH03409,Fictional names,https://groups.google.com./g/net.singles/c/cSZx8X_pO2E,3/25/86,1
TH03408,Honesty (New Subject?),https://groups.google.com./g/net.singles/c/7d1CSK9CNx8,3/25/86,9
TH03407,Love Songs...,https://groups.google.com./g/net.singles/c/JjlU25RSkcU,3/24/86,8
TH03406,Aiding and abeting a suicide? Illegal?,https://groups.google.com./g/net.singles/c/MNTfrBgH4Fo,3/24/86,1
TH03405,Fatback an' poke salad? Throw in a slice o' cherry pie...,https://groups.google.com./g/net.singles/c/Pg3gIbjXfPM,3/24/86,1
TH03404,Rockos thinks I may be Okay...,https://groups.google.com./g/net.singles/c/bNwTfWi_cMk,3/24/86,1
TH03403,THe Wench? If you were a mechanic...,https://groups.google.com./g/net.singles/c/smQ9WvguPVE,3/24/86,1
TH03402,More on love songs.,https://groups.google.com./g/net.singles/c/cOQDd-MWRn0,3/24/86,3
TH03401,Common interests/jobs in SOs,https://groups.google.com./g/net.singles/c/b7WavF-1pxM,3/23/86,3
TH03400,Why is there a net.women,https://groups.google.com./g/net.singles/c/YsgCtD29oJs,3/23/86,3
TH03399,Millionaires' Club (Dating Service),https://groups.google.com./g/net.singles/c/NNtBOaMIJGs,3/23/86,3
TH03398,"""pretend"" names and aliases",https://groups.google.com./g/net.singles/c/uWnmtsxS8MU,3/22/86,5
TH03397,Second Time Relationships: Responses,https://groups.google.com./g/net.singles/c/ouqquKNGyCw,3/22/86,2
TH03396,tan lines,https://groups.google.com./g/net.singles/c/oiP6HX88PUQ,3/22/86,3
TH03395,Andy's bakin' cookies?,https://groups.google.com./g/net.singles/c/CsUdvQ3yzwM,3/22/86,3
TH03394,I'm going away for 2 weeks vacation,https://groups.google.com./g/net.singles/c/NjdDsti6U4k,3/21/86,1
TH03393,Reply to Andy Cohill,https://groups.google.com./g/net.singles/c/9RdhpZNoKRk,3/21/86,1
TH03392,Love songs?,https://groups.google.com./g/net.singles/c/kvcbDQtIMKs,3/21/86,3
TH03391,Is we agonna have us a duel?,https://groups.google.com./g/net.singles/c/64ILYxyJRHQ,3/21/86,3
TH03390,"""Pretend"" names and aliases",https://groups.google.com./g/net.singles/c/-0qjTiYeCfk,3/21/86,1
TH03389,USENET costs--who's paying for what?,https://groups.google.com./g/net.singles/c/qp4yZ24R-68,3/20/86,3
TH03388,Looking for Trudy in NJ,https://groups.google.com./g/net.singles/c/KrvVOMvCvXk,3/20/86,1
TH03387,Pretend names ans aliases...,https://groups.google.com./g/net.singles/c/cAGVNrBfKWI,3/20/86,1
TH03386,portable code,https://groups.google.com./g/net.singles/c/VNtoov-AxDM,3/20/86,20
TH03385,Truth is stranger than doctrine,https://groups.google.com./g/net.singles/c/xvBqaI5vR_o,3/19/86,46
TH03384,A reply to Theresa Campbell.,https://groups.google.com./g/net.singles/c/mTNCI98obqo,3/19/86,1
TH03383,What happened to the Good old Days?,https://groups.google.com./g/net.singles/c/HAn09oPew_U,3/19/86,1
TH03382,Are Tan lines sexy?,https://groups.google.com./g/net.singles/c/PlhX0zO_7YY,3/19/86,1
TH03381,Poisonous snakes in Delaware?,https://groups.google.com./g/net.singles/c/5duLC8vdrqQ,3/19/86,1
TH03380,Started out as what to do together.,https://groups.google.com./g/net.singles/c/8zsB8GxlfJY,3/19/86,1
TH03379,Love songs,https://groups.google.com./g/net.singles/c/4AE-4uGobFA,3/18/86,1
TH03378,living with an SO,https://groups.google.com./g/net.singles/c/5UpNStKzw3Y,3/18/86,7
TH03377,"Personally, I ain't been pure since I started breathin' and...",https://groups.google.com./g/net.singles/c/EOIKC8ndzxU,3/18/86,1
TH03376,"beaches, titles, etc....",https://groups.google.com./g/net.singles/c/K7OnpCMFwTI,3/17/86,2
TH03375,"Men, Food and Brooklyn",https://groups.google.com./g/net.singles/c/rFVEZ9E3mag,3/17/86,2
TH03374,The Polymath's theory...,https://groups.google.com./g/net.singles/c/wQubNv-8ZnI,3/17/86,1
TH03373,"Titles, Singles, and CS",https://groups.google.com./g/net.singles/c/hsSy6nVBLtk,3/17/86,17
TH03372,"Introduction, Question on ""second-time"" relationships",https://groups.google.com./g/net.singles/c/VT1ukMP2dWQ,3/15/86,6
TH03371,"beach harassment, extended",https://groups.google.com./g/net.singles/c/ot3MtNO1ay8,3/15/86,4
TH03370,AND THE FLAMES COME MARCHING IN,https://groups.google.com./g/net.singles/c/Wb4Hd2yItbc,3/15/86,1
TH03369,Turn about is fair play -- update.,https://groups.google.com./g/net.singles/c/eib7MLzEi7Q,3/14/86,3
TH03368,Diphormism in people.,https://groups.google.com./g/net.singles/c/9oaO8WQoiE0,3/14/86,4
TH03367,More to Allon Percus...,https://groups.google.com./g/net.singles/c/pUEUjf24XKU,3/14/86,2
TH03366,"Reply to Ingogly's reply...Yeh, another reply to a reply.",https://groups.google.com./g/net.singles/c/qt9OageHNgk,3/14/86,1
TH03365,living with SO,https://groups.google.com./g/net.singles/c/l09UIsxdDFc,3/14/86,2
TH03364,"Pooh's article on ""I don't want your body"".",https://groups.google.com./g/net.singles/c/0SgmDf-V9-I,3/14/86,1
TH03363,Grammar and Spelling on the Net (some solutions),https://groups.google.com./g/net.singles/c/rfUxLowMBo4,3/14/86,3
TH03362,"Re ""Piss Fire"" Willie",https://groups.google.com./g/net.singles/c/1TSpb2bSE74,3/14/86,1
TH03361,Career women remaining perpetually single,https://groups.google.com./g/net.singles/c/r2GUMsCXk0U,3/13/86,4
TH03360,I know a dumb blonde (bleached!) in trouble...,https://groups.google.com./g/net.singles/c/PouEYiqCjNc,3/13/86,1
