"NG_TH_ID","TH_ID","NG_ID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"NG01_TH01442","TH01442","NG01","NDEs","https://groups.google.com./g/net.med/c/00f9TwogWOI",1986-10-26,1,"netmed"
"NG01_TH01441","TH01441","NG01","AMA and Smoking Policy (full text)","https://groups.google.com./g/net.med/c/BS2ljt8bnq4",1986-10-26,1,"netmed"
"NG01_TH01440","TH01440","NG01","AMA and Smoking Policy (abbreviated version)","https://groups.google.com./g/net.med/c/lGyAUVmOMPA",1986-10-26,1,"netmed"
"NG01_TH01439","TH01439","NG01","The subject appears to be ME.","https://groups.google.com./g/net.med/c/xfzjPYILXJg",1986-10-24,2,"netmed"
"NG01_TH01438","TH01438","NG01","Abbreviated Bio","https://groups.google.com./g/net.med/c/n0_kba13lpQ",1986-10-24,1,"netmed"
"NG01_TH01437","TH01437","NG01","Caffeine and analgesia","https://groups.google.com./g/net.med/c/-APExpxdUkA",1986-10-22,1,"netmed"
"NG01_TH01436","TH01436","NG01","Medical Puzzle #21","https://groups.google.com./g/net.med/c/HYY-IDbZwoY",1986-10-22,1,"netmed"
"NG01_TH01435","TH01435","NG01","Laryngectomee Rehabilitation: Info request","https://groups.google.com./g/net.med/c/usfzrpYf9ZU",1986-10-18,1,"netmed"
"NG01_TH01434","TH01434","NG01","Aspirin vs. Codine (Codeine!)","https://groups.google.com./g/net.med/c/q_9mrs0cCEs",1986-10-18,1,"netmed"
"NG01_TH01433","TH01433","NG01","Drug Abuse - True Problem or Media Hype?","https://groups.google.com./g/net.med/c/4ZCPX-3Nbk4",1986-10-12,56,"netmed"
"NG01_TH01432","TH01432","NG01","Loss of I.Q.","https://groups.google.com./g/net.med/c/MiGian0k-Zo",1986-10-10,7,"netmed"
"NG01_TH01431","TH01431","NG01","Selecting the sex...","https://groups.google.com./g/net.med/c/7rtLGke2UaY",1986-10-09,2,"netmed"
"NG01_TH01430","TH01430","NG01","The Open Road","https://groups.google.com./g/net.med/c/4dtpvzaYplw",1986-10-08,2,"netmed"
"NG01_TH01429","TH01429","NG01","matrix of sexually xmited diseases","https://groups.google.com./g/net.med/c/8ncxb9mj34Q",1986-10-07,1,"netmed"
"NG01_TH01428","TH01428","NG01","Drug-Induced Erection","https://groups.google.com./g/net.med/c/qHEMo7Pf9Yo",1986-10-06,4,"netmed"
"NG01_TH01427","TH01427","NG01","A new call for ignorance","https://groups.google.com./g/net.med/c/igO9rBw0QEQ",1986-10-03,2,"netmed"
"NG01_TH01426","TH01426","NG01","Why Take Drugs?","https://groups.google.com./g/net.med/c/nkSV2oe-Vs0",1986-10-03,2,"netmed"
"NG01_TH01425","TH01425","NG01","hardware/software/peripherals for quadriplegics","https://groups.google.com./g/net.med/c/G1cdLVEK5iU",1986-09-29,2,"netmed"
"NG01_TH01424","TH01424","NG01","Brief History of Drug Use and Control","https://groups.google.com./g/net.med/c/G6YUgOeSyTc",1986-09-29,2,"netmed"
"NG01_TH01423","TH01423","NG01","""I did not go in for a Pap Smear"" (POMMAMN2)","https://groups.google.com./g/net.med/c/N6IjAlAFqz8",1986-09-27,1,"netmed"
"NG01_TH01422","TH01422","NG01","Fun with Household Ammonia","https://groups.google.com./g/net.med/c/qhXb3WZzxM4",1986-09-25,2,"netmed"
"NG01_TH01421","TH01421","NG01","4 in 10 doctors uses mind-altering drugs","https://groups.google.com./g/net.med/c/UUgma2CP4X8",1986-09-25,1,"netmed"
"NG01_TH01420","TH01420","NG01","AIDS","https://groups.google.com./g/net.med/c/JVvLCQ24_jc",1986-09-24,3,"netmed"
"NG01_TH01419","TH01419","NG01","Yeast infection (yech!)","https://groups.google.com./g/net.med/c/_ZlPlcsv_CQ",1986-09-22,1,"netmed"
"NG01_TH01418","TH01418","NG01","warming lubricants and oils","https://groups.google.com./g/net.med/c/XuSB0r6Xgzw",1986-09-22,1,"netmed"
"NG01_TH01417","TH01417","NG01","Tomato fruit or vegetable","https://groups.google.com./g/net.med/c/68tR8y0mjsA",1986-09-20,1,"netmed"
"NG01_TH01416","TH01416","NG01","Foiling Drug Tests","https://groups.google.com./g/net.med/c/k3jLB8d2zmM",1986-09-20,2,"netmed"
"NG01_TH01415","TH01415","NG01","Drug Abuse - True Problem or Media Hype? (Worse Still)","https://groups.google.com./g/net.med/c/DxXraAh_iF0",1986-09-20,2,"netmed"
"NG01_TH01414","TH01414","NG01","Why K-Y Jelly? (was: Fear of penetration)","https://groups.google.com./g/net.med/c/2Xr-Gr7fxqs",1986-09-19,2,"netmed"
"NG01_TH01413","TH01413","NG01","Yeast, Yech, and Yogurt","https://groups.google.com./g/net.med/c/WWPqNf0cYYg",1986-09-17,1,"netmed"
"NG01_TH01412","TH01412","NG01","Drug Abuse - The Plot Thickens","https://groups.google.com./g/net.med/c/7JUf9J4h8pk",1986-09-14,1,"netmed"
"NG01_TH01411","TH01411","NG01","AIDS posting","https://groups.google.com./g/net.med/c/x0t_ee4RnlE",1986-09-11,1,"netmed"
"NG01_TH01410","TH01410","NG01","electrocardiograph","https://groups.google.com./g/net.med/c/4m2rxrGjxuQ",1986-09-03,2,"netmed"
"NG01_TH01409","TH01409","NG01","Stupid Analogies (was effects of pollution)","https://groups.google.com./g/net.med/c/-P-v9MA69xg",1986-08-26,2,"netmed"
"NG01_TH01408","TH01408","NG01","mactools for blind users","https://groups.google.com./g/net.med/c/A5QtdYDnOZM",1986-08-07,1,"netmed"
"NG01_TH01407","TH01407","NG01","Interesting AIDS fact","https://groups.google.com./g/net.med/c/bHCzTh7InXg",1986-07-30,1,"netmed"
"NG01_TH01406","TH01406","NG01","If sodomy, why not incest?","https://groups.google.com./g/net.med/c/bdzUWqGigc0",1986-07-28,12,"netmed"
"NG01_TH01405","TH01405","NG01","PSI: Yes I see it / No you don't","https://groups.google.com./g/net.med/c/E1L_IstofMM",1986-05-25,5,"netmed"
"NG01_TH01404","TH01404","NG01","Cancer -- was 'Plutonium'","https://groups.google.com./g/net.med/c/luX9w093bHI",1986-05-24,1,"netmed"
"NG01_TH01403","TH01403","NG01","Evolutionary advantage of Excess Brain matter","https://groups.google.com./g/net.med/c/9or8jOUMWJc",1986-05-21,3,"netmed"
"NG01_TH01402","TH01402","NG01","New mailing list for/about handicapped","https://groups.google.com./g/net.med/c/ZFck2S2VlYY",1986-05-20,1,"netmed"
"NG01_TH01401","TH01401","NG01","Japanese super pill: a surmise","https://groups.google.com./g/net.med/c/UjelUpn2i3w",1986-05-20,4,"netmed"
"NG01_TH01400","TH01400","NG01","Flame etymology clarification","https://groups.google.com./g/net.med/c/8DGjSD1v2CU",1986-05-17,5,"netmed"
"NG01_TH01399","TH01399","NG01","Esoteric Books","https://groups.google.com./g/net.med/c/DUpCgN9eFDc",1986-05-16,5,"netmed"
"NG01_TH01398","TH01398","NG01","NutraSweet (aspartame)","https://groups.google.com./g/net.med/c/OfqucfPprQ4",1986-05-12,2,"netmed"
"NG01_TH01397","TH01397","NG01","PSI: Yes I see it / No you don't","https://groups.google.com./g/net.med/c/m-ejLoYUfhk",1986-05-11,1,"netmed"
"NG01_TH01396","TH01396","NG01","Creation of *.psi (newsgroup or moderated mailing list)","https://groups.google.com./g/net.med/c/JHN5TCwfIrM",1986-05-11,3,"netmed"
"NG01_TH01395","TH01395","NG01","Request info: scientific programming in Israel","https://groups.google.com./g/net.med/c/l4TYvDo9G0g",1986-05-09,1,"netmed"
"NG01_TH01394","TH01394","NG01","Drug Disinformation, Ignorance and Prejudice","https://groups.google.com./g/net.med/c/Ko4tD45PGqg",1986-05-08,1,"netmed"
"NG01_TH01393","TH01393","NG01","Old Geiger counters","https://groups.google.com./g/net.med/c/uAUQAJARNMw",1986-05-07,6,"netmed"
"NG01_TH01392","TH01392","NG01","psychic ability, and throwing down the gauntlet","https://groups.google.com./g/net.med/c/p_jP8bJUv5I",1986-05-07,1,"netmed"
"NG01_TH01391","TH01391","NG01","Goodbye! (only temporarily)","https://groups.google.com./g/net.med/c/WEbukl6Whk8",1986-05-05,1,"netmed"
"NG01_TH01390","TH01390","NG01","NutraSweet Inquiry.","https://groups.google.com./g/net.med/c/1r_m-vJabRc",1986-04-29,5,"netmed"
"NG01_TH01389","TH01389","NG01","macrobiotic diet","https://groups.google.com./g/net.med/c/LdR8qprtM_U",1986-04-23,3,"netmed"
"NG01_TH01388","TH01388","NG01","Interactive Medical Telecomputing","https://groups.google.com./g/net.med/c/kG2DaKqgB2g",1986-04-21,1,"netmed"
"NG01_TH01387","TH01387","NG01","Calcium in a diet","https://groups.google.com./g/net.med/c/9dOjjCCgd04",1986-04-20,1,"netmed"
"NG01_TH01386","TH01386","NG01","Psychic Damages","https://groups.google.com./g/net.med/c/BOESPOo6_pM",1986-04-15,3,"netmed"
"NG01_TH01385","TH01385","NG01","Fingernails and Chalkboards","https://groups.google.com./g/net.med/c/8bEdPxLBDcw",1986-04-09,3,"netmed"
"NG01_TH01384","TH01384","NG01","contraceptives - a new wonder drug","https://groups.google.com./g/net.med/c/MEyw4jDUEXs",1986-04-01,1,"netmed"
"NG01_TH01383","TH01383","NG01","The male pill","https://groups.google.com./g/net.med/c/oAWxkMGRXcQ",1986-03-29,1,"netmed"
"NG01_TH01382","TH01382","NG01","An interesting sideline *FACT*","https://groups.google.com./g/net.med/c/EeNkjoLm2v4",1986-03-29,2,"netmed"
"NG01_TH01381","TH01381","NG01","Need arthroscopic (sp?) info","https://groups.google.com./g/net.med/c/XYBFFbNjsdY",1986-03-23,2,"netmed"
"NG01_TH01380","TH01380","NG01","Neuropsychology expert system inquiry.","https://groups.google.com./g/net.med/c/HSdt5DwJFtY",1986-03-23,1,"netmed"
"NG01_TH01379","TH01379","NG01","Answer to Medical Puzzle #12","https://groups.google.com./g/net.med/c/UUfMQQZ9f5o",1986-03-22,2,"netmed"
"NG01_TH01378","TH01378","NG01","I want to cut out milk. What do I put on my cereal?","https://groups.google.com./g/net.med/c/3pcuUAlz8NI",1986-03-21,8,"netmed"
"NG01_TH01377","TH01377","NG01","American Medico's experience in India (LONG!)","https://groups.google.com./g/net.med/c/K2cu5QGl1oc",1986-03-21,1,"netmed"
"NG01_TH01376","TH01376","NG01","Appendicitis - how common is it?","https://groups.google.com./g/net.med/c/3f6qTbmVD9E",1986-03-21,2,"netmed"
"NG01_TH01375","TH01375","NG01","Alzheimer's disease and alumin(i)um.","https://groups.google.com./g/net.med/c/tJMtDfcc4pM",1986-03-21,1,"netmed"
"NG01_TH01374","TH01374","NG01","Low Fat/Salt Diets","https://groups.google.com./g/net.med/c/cVWSuLD3EBQ",1986-03-21,1,"netmed"
"NG01_TH01373","TH01373","NG01","""The McDougall Plan"" by Dr. John McDougall","https://groups.google.com./g/net.med/c/qqcaUuXp7WU",1986-03-21,1,"netmed"
"NG01_TH01372","TH01372","NG01","question about hypercalcemia","https://groups.google.com./g/net.med/c/sGcWLtf75bk",1986-03-20,2,"netmed"
"NG01_TH01371","TH01371","NG01","Chiropractors, pain in the back","https://groups.google.com./g/net.med/c/fP5rw6403nA",1986-03-20,2,"netmed"
"NG01_TH01370","TH01370","NG01","Calcium Sources","https://groups.google.com./g/net.med/c/aItt2cCYdiw",1986-03-20,1,"netmed"
"NG01_TH01369","TH01369","NG01","What do you go to chiropractors for?","https://groups.google.com./g/net.med/c/Dz4ak_nyvFo",1986-03-20,6,"netmed"
"NG01_TH01368","TH01368","NG01","My opinion of Chiropractors.","https://groups.google.com./g/net.med/c/Zm9yrteQl0s",1986-03-19,12,"netmed"
"NG01_TH01367","TH01367","NG01","Augmentative Communication Systems: is anyone on the net involved?","https://groups.google.com./g/net.med/c/TAOmNz0SBhU",1986-03-19,1,"netmed"
"NG01_TH01366","TH01366","NG01","More NOVA programs...","https://groups.google.com./g/net.med/c/dcM8nVy3hcs",1986-03-19,1,"netmed"
"NG01_TH01365","TH01365","NG01","TUMS as calcium supplement???","https://groups.google.com./g/net.med/c/OTup98KkhlE",1986-03-18,3,"netmed"
"NG01_TH01364","TH01364","NG01","Questions on Food Allergies","https://groups.google.com./g/net.med/c/FBbzPFKKC48",1986-03-18,1,"netmed"
"NG01_TH01363","TH01363","NG01","Wanted: The Emergence of Man Time/Life series","https://groups.google.com./g/net.med/c/FePvwB62R44",1986-03-18,1,"netmed"
"NG01_TH01362","TH01362","NG01","a vitamin called Acidophilus","https://groups.google.com./g/net.med/c/E-ggQ9HMg84",1986-03-18,5,"netmed"
"NG01_TH01361","TH01361","NG01","exercise","https://groups.google.com./g/net.med/c/Ab95uod1pDc",1986-03-18,2,"netmed"
"NG01_TH01360","TH01360","NG01","Medical Puzzle #13","https://groups.google.com./g/net.med/c/VqFGWUXr2ZQ",1986-03-17,1,"netmed"
"NG01_TH01359","TH01359","NG01","The Plan (POMM8)","https://groups.google.com./g/net.med/c/8BewVfvocsw",1986-03-17,1,"netmed"
"NG01_TH01358","TH01358","NG01","I would like some information on Tunnel Carpal Syndrome.","https://groups.google.com./g/net.med/c/YQyO78-ixsI",1986-03-17,1,"netmed"
"NG01_TH01357","TH01357","NG01","Chiropractors","https://groups.google.com./g/net.med/c/qhwKOdq37jc",1986-03-17,1,"netmed"
"NG01_TH01356","TH01356","NG01","net.rec.drugs","https://groups.google.com./g/net.med/c/7UYCX-mGnRo",1986-03-16,1,"netmed"
"NG01_TH01355","TH01355","NG01","Recomendations wanted for books about sleep.","https://groups.google.com./g/net.med/c/cqYVT-tU3zw",1986-03-14,1,"netmed"
"NG01_TH01354","TH01354","NG01","More Warnings on eating raw shellfish","https://groups.google.com./g/net.med/c/3n1DvkDCfHk",1986-03-14,1,"netmed"
"NG01_TH01353","TH01353","NG01","Gamblers Anonymous","https://groups.google.com./g/net.med/c/pnVRia4kYoo",1986-03-13,1,"netmed"
"NG01_TH01352","TH01352","NG01","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc",1986-03-12,12,"netmed"
"NG01_TH01351","TH01351","NG01","? for Internists/Surgeons/Those in the know","https://groups.google.com./g/net.med/c/f8LcLb9zRXc",1986-03-12,1,"netmed"
"NG01_TH01350","TH01350","NG01","Calcium Question","https://groups.google.com./g/net.med/c/4MAKl85yOLE",1986-03-11,2,"netmed"
"NG01_TH01349","TH01349","NG01","exercise?","https://groups.google.com./g/net.med/c/5Z8gIQcIlwU",1986-03-11,4,"netmed"
"NG01_TH01348","TH01348","NG01","Unipro nutitional suppliments","https://groups.google.com./g/net.med/c/xr0PYgyO6mE",1986-03-11,2,"netmed"
"NG01_TH01347","TH01347","NG01","The Prevalence of Vit. C Deficiency","https://groups.google.com./g/net.med/c/Spx8jicZvpA",1986-03-10,1,"netmed"
"NG01_TH01346","TH01346","NG01","Warning are sought on Vitamin Supplements","https://groups.google.com./g/net.med/c/ZXvPuPI9UtU",1986-03-10,5,"netmed"
"NG01_TH01345","TH01345","NG01","""Backpractors"".","https://groups.google.com./g/net.med/c/mpnSXsERABo",1986-03-10,1,"netmed"
"NG01_TH01344","TH01344","NG01","finding a good doctor","https://groups.google.com./g/net.med/c/pfAsEuX0EYM",1986-03-09,3,"netmed"
"NG01_TH01343","TH01343","NG01","Where are drugs (opiates) legal?","https://groups.google.com./g/net.med/c/wLlh2IORVtI",1986-03-09,25,"netmed"
"NG01_TH01342","TH01342","NG01","Answer to Medical Puzzle #11","https://groups.google.com./g/net.med/c/HsUmo9R0_3o",1986-03-08,2,"netmed"
"NG01_TH01341","TH01341","NG01","Medical Puzzle #12","https://groups.google.com./g/net.med/c/k7te4kuCTgQ",1986-03-08,1,"netmed"
"NG01_TH01340","TH01340","NG01","Clove cigarettes -- hazard","https://groups.google.com./g/net.med/c/xNj1HrXHnn8",1986-03-07,1,"netmed"
"NG01_TH01339","TH01339","NG01","The Twins","https://groups.google.com./g/net.med/c/bK6niIRhkt4",1986-03-06,4,"netmed"
"NG01_TH01338","TH01338","NG01","I must agree with Steve Dyer","https://groups.google.com./g/net.med/c/vADElY2cbxw",1986-03-06,1,"netmed"
"NG01_TH01337","TH01337","NG01","biting aluminum foil","https://groups.google.com./g/net.med/c/yj9Lba9F7Q0",1986-03-05,6,"netmed"
"NG01_TH01336","TH01336","NG01","Minor Strokes (was Re: Depiction: What I Really Think)","https://groups.google.com./g/net.med/c/B9ogw0pYLos",1986-03-05,1,"netmed"
"NG01_TH01335","TH01335","NG01","Premenstrual Syndrome","https://groups.google.com./g/net.med/c/WTD1m81a7TE",1986-03-05,1,"netmed"
"NG01_TH01334","TH01334","NG01","""medical student seeks u.s. rotation""","https://groups.google.com./g/net.med/c/xFnEcgfpYyo",1986-03-05,1,"netmed"
"NG01_TH01333","TH01333","NG01","another question to peruse","https://groups.google.com./g/net.med/c/GH8FamNGdp8",1986-03-04,1,"netmed"
"NG01_TH01332","TH01332","NG01","Contact fiasco (summary)","https://groups.google.com./g/net.med/c/nybvNcWTHyE",1986-03-04,1,"netmed"
"NG01_TH01331","TH01331","NG01","Antibiotics over-the-counter","https://groups.google.com./g/net.med/c/VjfBwF_zgYQ",1986-03-04,1,"netmed"
"NG01_TH01330","TH01330","NG01","Injured feet & varying medical advice","https://groups.google.com./g/net.med/c/xvY_x-4B4p8",1986-03-04,3,"netmed"
"NG01_TH01329","TH01329","NG01","Another Calcium Question","https://groups.google.com./g/net.med/c/aO65T0dg_WI",1986-03-04,1,"netmed"
"NG01_TH01328","TH01328","NG01","FOOT CRAMPS","https://groups.google.com./g/net.med/c/drbV8OI0goA",1986-03-03,5,"netmed"
"NG01_TH01327","TH01327","NG01","Muscle cramps","https://groups.google.com./g/net.med/c/EAUAkF4YGe8",1986-03-03,2,"netmed"
"NG01_TH01326","TH01326","NG01","Depression and (oh, no!) vitamins","https://groups.google.com./g/net.med/c/M853UWIMhDo",1986-03-03,7,"netmed"
"NG01_TH01325","TH01325","NG01","Memory","https://groups.google.com./g/net.med/c/QTBpdTd__SY",1986-03-02,5,"netmed"
"NG01_TH01324","TH01324","NG01","question about potassium supplements","https://groups.google.com./g/net.med/c/R9krVI5qdi4",1986-03-01,4,"netmed"
"NG01_TH01323","TH01323","NG01","Living With A Broken Leg","https://groups.google.com./g/net.med/c/daFEVcfHjQI",1986-03-01,1,"netmed"
