"NG_TH_ID","TH_ID","NG_ID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"NG01_TH01322","TH01322","NG01","Smoking References","https://groups.google.com./g/net.med/c/s1V6QrMk5vM",1986-02-28,1,"netmed"
"NG01_TH01321","TH01321","NG01","Note/Correction to Medical Puzzle #11","https://groups.google.com./g/net.med/c/jn7qO3iE4NU",1986-02-28,1,"netmed"
"NG01_TH01320","TH01320","NG01","how do you choose a doctor?","https://groups.google.com./g/net.med/c/118C_QH1zTY",1986-02-28,1,"netmed"
"NG01_TH01319","TH01319","NG01","Shigechio Izumi dead","https://groups.google.com./g/net.med/c/b-3151VUKTw",1986-02-28,2,"netmed"
"NG01_TH01318","TH01318","NG01","Vanishing sense of smell","https://groups.google.com./g/net.med/c/MKhdJKX3PSw",1986-02-27,2,"netmed"
"NG01_TH01317","TH01317","NG01","bumper sticker","https://groups.google.com./g/net.med/c/ELsX1-ws6U4",1986-02-27,1,"netmed"
"NG01_TH01316","TH01316","NG01","Question -- Migraine Symptomology?","https://groups.google.com./g/net.med/c/qg_AKPSRCSc",1986-02-27,2,"netmed"
"NG01_TH01315","TH01315","NG01","Medical Puzzle # 11","https://groups.google.com./g/net.med/c/OxePO_BhtFw",1986-02-27,1,"netmed"
"NG01_TH01314","TH01314","NG01","Addendum to Medical Puzzle #10","https://groups.google.com./g/net.med/c/LYwp5-Gxij0",1986-02-27,1,"netmed"
"NG01_TH01313","TH01313","NG01","Answer to Medical Puzzle #10","https://groups.google.com./g/net.med/c/aepJDNsrdgQ",1986-02-27,1,"netmed"
"NG01_TH01312","TH01312","NG01","Milk intolerance.","https://groups.google.com./g/net.med/c/VOKKlg901b8",1986-02-27,3,"netmed"
"NG01_TH01311","TH01311","NG01","``Congenital dysplasia of the limbs'' -- huh?","https://groups.google.com./g/net.med/c/iVKJXVxP4eE",1986-02-27,2,"netmed"
"NG01_TH01310","TH01310","NG01","Tetracycline and Antacids","https://groups.google.com./g/net.med/c/ouoNlZtjBxo",1986-02-27,6,"netmed"
"NG01_TH01309","TH01309","NG01","Thick-feeling and Contact Lenses","https://groups.google.com./g/net.med/c/Nlk-p2RgLMI",1986-02-26,1,"netmed"
"NG01_TH01308","TH01308","NG01","The worst (historical) surgical procedure","https://groups.google.com./g/net.med/c/w2PT9SGgA7Y",1986-02-26,13,"netmed"
"NG01_TH01307","TH01307","NG01","Medical Puzzle #10","https://groups.google.com./g/net.med/c/wRbCCjTuzpM",1986-02-26,3,"netmed"
"NG01_TH01306","TH01306","NG01","Doctor Joke","https://groups.google.com./g/net.med/c/KOvmoQtxKv8",1986-02-26,1,"netmed"
"NG01_TH01305","TH01305","NG01","Medical Puzzler #8898?","https://groups.google.com./g/net.med/c/QaGfb2HaorY",1986-02-26,1,"netmed"
"NG01_TH01304","TH01304","NG01","contact lens fiasco","https://groups.google.com./g/net.med/c/hzYJwabkEJs",1986-02-25,4,"netmed"
"NG01_TH01303","TH01303","NG01","Starved for affliction","https://groups.google.com./g/net.med/c/X3tZaFQoZFc",1986-02-25,3,"netmed"
"NG01_TH01302","TH01302","NG01","Science Fair (Help !)","https://groups.google.com./g/net.med/c/51qvqt0qjks",1986-02-24,1,"netmed"
"NG01_TH01301","TH01301","NG01","article i posted that died","https://groups.google.com./g/net.med/c/hmq_H4suuEM",1986-02-24,1,"netmed"
"NG01_TH01300","TH01300","NG01","Answer to Medical Puzzle #9","https://groups.google.com./g/net.med/c/UbSALEST2L4",1986-02-24,2,"netmed"
"NG01_TH01299","TH01299","NG01","potential for arthritis","https://groups.google.com./g/net.med/c/RU05tkjHFH8",1986-02-24,1,"netmed"
"NG01_TH01298","TH01298","NG01","treatment for sprains, strains","https://groups.google.com./g/net.med/c/vSGK83g0glk",1986-02-24,1,"netmed"
"NG01_TH01297","TH01297","NG01","contact lens fiasco, or ""How long do they last?""","https://groups.google.com./g/net.med/c/sYoYAseaLdQ",1986-02-24,1,"netmed"
"NG01_TH01296","TH01296","NG01","Query: software packages for doctor's office","https://groups.google.com./g/net.med/c/DC6-0jLUUhQ",1986-02-23,1,"netmed"
"NG01_TH01295","TH01295","NG01","Travel to Nicaragua & work at your profession/hobby for 2 weeks","https://groups.google.com./g/net.med/c/Ph1Rn9WznYA",1986-02-23,1,"netmed"
"NG01_TH01294","TH01294","NG01","Designer Bandages","https://groups.google.com./g/net.med/c/gelu6cSxjFk",1986-02-22,1,"netmed"
"NG01_TH01293","TH01293","NG01","Milk is not for every body.","https://groups.google.com./g/net.med/c/ZX_iW0aqcuo",1986-02-21,4,"netmed"
"NG01_TH01292","TH01292","NG01","Danger/non-danger of smoking references wanted","https://groups.google.com./g/net.med/c/s_I5-Fpw5no",1986-02-21,2,"netmed"
"NG01_TH01291","TH01291","NG01","The Hospital","https://groups.google.com./g/net.med/c/qUoivPG2HSI",1986-02-21,1,"netmed"
"NG01_TH01290","TH01290","NG01","Amer.Soc.Biol.Chemists meeting June 8-12, Washington, D.C.","https://groups.google.com./g/net.med/c/EDuinXAqPMM",1986-02-20,1,"netmed"
"NG01_TH01289","TH01289","NG01","Golden Hair Syndrome -- What is it?","https://groups.google.com./g/net.med/c/cADEQwa76gM",1986-02-20,1,"netmed"
"NG01_TH01288","TH01288","NG01","Soy allergy","https://groups.google.com./g/net.med/c/cZxEFF9lsmw",1986-02-20,1,"netmed"
"NG01_TH01287","TH01287","NG01","Losing Body Fat","https://groups.google.com./g/net.med/c/0s0c5rMv0oI",1986-02-20,1,"netmed"
"NG01_TH01286","TH01286","NG01","CPR as portrayed on TV.","https://groups.google.com./g/net.med/c/l46ZBniqKAM",1986-02-20,3,"netmed"
"NG01_TH01285","TH01285","NG01","Discomfort After Taking Contacts Out","https://groups.google.com./g/net.med/c/83USQMcIoCc",1986-02-20,2,"netmed"
"NG01_TH01284","TH01284","NG01","the food groups vs. the chinese","https://groups.google.com./g/net.med/c/EsxzL6liDsE",1986-02-20,9,"netmed"
"NG01_TH01283","TH01283","NG01","CPR, First Aid, & Liability","https://groups.google.com./g/net.med/c/qVvEd-3DBPQ",1986-02-19,5,"netmed"
"NG01_TH01282","TH01282","NG01","Data on human exposures to toxic chemicals sought","https://groups.google.com./g/net.med/c/rhw7qqVp1H0",1986-02-19,1,"netmed"
"NG01_TH01281","TH01281","NG01","PBS Nova program -- 'The Case of the Frozen Addict'","https://groups.google.com./g/net.med/c/h83zpVr8v0I",1986-02-18,1,"netmed"
"NG01_TH01280","TH01280","NG01","Best Ways of Reducing body fat???","https://groups.google.com./g/net.med/c/4oxnfJe5zu0",1986-02-18,1,"netmed"
"NG01_TH01279","TH01279","NG01","Dr. Joke.","https://groups.google.com./g/net.med/c/XlZbQZcES1U",1986-02-18,1,"netmed"
"NG01_TH01278","TH01278","NG01","Medical Quiz # 89976","https://groups.google.com./g/net.med/c/QNrplu0hGfA",1986-02-18,1,"netmed"
"NG01_TH01277","TH01277","NG01","Sprained Ankle","https://groups.google.com./g/net.med/c/LL-mr6iXO6U",1986-02-15,1,"netmed"
"NG01_TH01276","TH01276","NG01","pertussis (whooping cough) innoculation","https://groups.google.com./g/net.med/c/8TNP4BmXYrY",1986-02-13,1,"netmed"
"NG01_TH01275","TH01275","NG01","Barbara's reply on MVP.","https://groups.google.com./g/net.med/c/yXuvuMAgo6Y",1986-02-13,1,"netmed"
"NG01_TH01274","TH01274","NG01","Pregnancy During Residency","https://groups.google.com./g/net.med/c/iuowA5JqYsI",1986-02-13,1,"netmed"
"NG01_TH01273","TH01273","NG01","Correction about eye specialists (from article 1788)","https://groups.google.com./g/net.med/c/MvQ4qEEfZvk",1986-02-12,1,"netmed"
"NG01_TH01272","TH01272","NG01","floaters","https://groups.google.com./g/net.med/c/jYopFScu5GI",1986-02-12,4,"netmed"
"NG01_TH01271","TH01271","NG01","Medical Puzzle #9","https://groups.google.com./g/net.med/c/y3eiXxgxumQ",1986-02-12,1,"netmed"
"NG01_TH01270","TH01270","NG01","Answer to Medical Puzzle #8","https://groups.google.com./g/net.med/c/N36YYcDA21I",1986-02-12,1,"netmed"
"NG01_TH01269","TH01269","NG01","Risk blows off fast as smoke","https://groups.google.com./g/net.med/c/WMn8p_H9Snc",1986-02-12,1,"netmed"
"NG01_TH01268","TH01268","NG01","Explanation of MVP - Self Diagnosis","https://groups.google.com./g/net.med/c/8qcv6npcQ8I",1986-02-11,1,"netmed"
"NG01_TH01267","TH01267","NG01","Cold Hands","https://groups.google.com./g/net.med/c/u6FYQSpityg",1986-02-11,3,"netmed"
"NG01_TH01266","TH01266","NG01","VDT radiation & related problems","https://groups.google.com./g/net.med/c/5MIViruU84k",1986-02-10,1,"netmed"
"NG01_TH01265","TH01265","NG01","sprained ankle","https://groups.google.com./g/net.med/c/49rlFTxJWqs",1986-02-10,1,"netmed"
"NG01_TH01264","TH01264","NG01","Shameful Statistics","https://groups.google.com./g/net.med/c/duEOEKkQpMk",1986-02-10,8,"netmed"
"NG01_TH01263","TH01263","NG01","Popping Sounds in Ears","https://groups.google.com./g/net.med/c/Kav7ChW3ilE",1986-02-07,1,"netmed"
"NG01_TH01262","TH01262","NG01","Ovaries Cysts","https://groups.google.com./g/net.med/c/wUcZazbDRCc",1986-02-07,1,"netmed"
"NG01_TH01261","TH01261","NG01","Cold Hands, Headaches, and a Question","https://groups.google.com./g/net.med/c/egCYrz9h2iQ",1986-02-06,1,"netmed"
"NG01_TH01260","TH01260","NG01","VDT radiation & related problems","https://groups.google.com./g/net.med/c/fPJCVDliQaM",1986-02-06,1,"netmed"
